name_fielder,model_oaa,n_opp,position
"Abreu, Wilyer",1.67,16,LF
"Adams, Jordyn",0.13,8,LF
"Adell, Jo",1.57,6,LF
"Allen, Greg",0.5,9,LF
"Almonte, Abraham",-0.48,5,LF
"Alu, Jake",-1.02,49,LF
"Alvarez, Yordan",-1.94,72,LF
"Andujar, Miguel",-0.52,3,LF
"Arozarena, Randy",2.26,289,LF
"Azócar, José",0.17,2,LF
"Baddoo, Akil",7.14,169,LF
"Bauers, Jake",-1.98,36,LF
"Benintendi, Andrew",-0.01,307,LF
"Benson, Will",1.41,82,LF
"Berti, Jon",1.91,33,LF
"Blanco, Dairon",2.01,38,LF
"Blankenhorn, Travis",0.36,10,LF
"Bleday, JJ",1.33,76,LF
"Bouchard, Sean",1.28,11,LF
"Bradley Jr., Jackie",1.03,6,LF
"Brantley, Michael",1.07,22,LF
"Brennan, Will",0.87,12,LF
"Brown, Seth",1.3,55,LF
"Bryant, Kris",-0.16,3,LF
"Burleson, Alec",-3.33,54,LF
"Cabrera, Oswaldo",0.87,62,LF
"Calhoun, Willie",-0.22,4,LF
"Call, Alex",1.93,65,LF
"Canha, Mark",1.55,106,LF
"Canzone, Dominic",4.1,48,LF
"Capel, Conner",-0.39,19,LF
"Carlson, Dylan",0.66,2,LF
"Carpenter, Kerry",0.38,19,LF
"Carroll, Corbin",3.01,108,LF
"Carter, Evan",4.06,60,LF
"Castro, Harold",1.1,6,LF
"Castro, Willi",1.05,68,LF
"Cave, Jake",4.73,49,LF
"Conforto, Michael",0.88,23,LF
"Cordero, Franchy",0.34,7,LF
"Cowser, Colton",-0.05,11,LF
"De La Cruz, Bryan",2.84,269,LF
"DeLuca, Jonny",1.09,14,LF
"Dickerson, Corey",0.61,68,LF
"Donovan, Brendan",-0.54,23,LF
"Dubón, Mauricio",0.65,10,LF
"Duran, Ezequiel",-2.23,43,LF
"Duran, Jarren",2.57,33,LF
"Duvall, Adam",1.04,6,LF
"Díaz, Aledmys",0.27,10,LF
"Eaton, Nate",0.17,6,LF
"Eden, Cam",0.07,2,LF
"Estrada, Thairo",-0.7,2,LF
"Fairchild, Stuart",4.04,64,LF
"Fletcher, Dominic",-0.35,3,LF
"Fraley, Jake",-0.43,42,LF
"Frazier, Adam",0.04,2,LF
"Frazier, Clint",0.16,4,LF
"Freeman, Tyler",0.01,1,LF
"Frelick, Sal",0.01,1,LF
"Friedl, TJ",2.36,32,LF
"Fry, David",0.71,6,LF
"Gallo, Joey",0.94,70,LF
"Gamel, Ben",0.04,2,LF
