,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"alpha[Gardner, Brett]",-1.787,0.169,-2.113,-1.484,0.002,0.002,12599.0,6680.0,1.0
"alpha[Brantley, Michael]",-2.456,0.214,-2.849,-2.055,0.002,0.002,14729.0,7038.0,1.0
"alpha[Soto, Juan]",-2.106,0.156,-2.402,-1.819,0.001,0.002,13108.0,5878.0,1.0
"alpha[Ozuna, Marcell]",-2.502,0.227,-2.947,-2.1,0.002,0.002,13007.0,6674.0,1.0
"alpha[Maybin, Cameron]",-2.336,0.281,-2.853,-1.795,0.002,0.003,12768.0,6415.0,1.0
"alpha[Díaz, Aledmys]",-2.058,0.364,-2.751,-1.38,0.003,0.004,16842.0,5893.0,1.0
"alpha[Stanton, Giancarlo]",-2.509,0.291,-3.085,-1.989,0.003,0.003,12283.0,6769.0,1.0
"alpha[Meadows, Austin]",-1.96,0.204,-2.333,-1.577,0.002,0.002,13057.0,6799.0,1.0
"alpha[Duvall, Adam]",-2.155,0.191,-2.517,-1.798,0.002,0.002,13960.0,5840.0,1.0
"alpha[Taylor, Chris]",-2.063,0.216,-2.466,-1.661,0.002,0.002,13583.0,6640.0,1.0
"alpha[Hernández, Enrique]",-1.438,0.189,-1.802,-1.1,0.002,0.002,13322.0,6273.0,1.0
"alpha[Markakis, Nick]",-2.568,0.25,-3.023,-2.084,0.002,0.003,13078.0,6829.0,1.0
"alpha[Beaty, Matt]",-2.399,0.309,-2.97,-1.823,0.003,0.004,13841.0,6289.0,1.0
"alpha[Cave, Jake]",-2.498,0.232,-2.929,-2.059,0.002,0.003,14715.0,6404.0,1.0
"alpha[Pollock, AJ]",-2.183,0.184,-2.507,-1.818,0.002,0.002,13167.0,6799.0,1.0
"alpha[Gamel, Ben]",-2.666,0.211,-3.075,-2.282,0.002,0.002,12843.0,6277.0,1.0
"alpha[Alvarez, Yordan]",-2.696,0.294,-3.269,-2.164,0.002,0.003,14939.0,6351.0,1.0
"alpha[Reddick, Josh]",-2.586,0.237,-3.022,-2.142,0.002,0.003,14096.0,6888.0,1.0
"alpha[Davis, J.D.]",-2.824,0.315,-3.426,-2.254,0.003,0.003,13157.0,6425.0,1.0
"alpha[Allen, Greg]",-2.313,0.249,-2.782,-1.851,0.002,0.003,15032.0,6618.0,1.0
"alpha[Stevenson, Andrew]",-1.755,0.306,-2.335,-1.191,0.003,0.003,14732.0,5961.0,1.0
"alpha[Bauers, Jake]",-2.512,0.289,-3.058,-1.971,0.002,0.003,13763.0,6212.0,1.0
"alpha[Wade Jr., LaMonte]",-2.142,0.261,-2.624,-1.648,0.002,0.003,14862.0,6147.0,1.0
"alpha[McBroom, Ryan]",-2.578,0.398,-3.315,-1.821,0.003,0.005,13536.0,6138.0,1.0
"alpha[Gordon, Alex]",-2.786,0.248,-3.268,-2.341,0.002,0.003,14725.0,6589.0,1.0
"alpha[Tapia, Raimel]",-2.305,0.19,-2.668,-1.955,0.002,0.002,12019.0,6475.0,1.0
"alpha[Spangenberg, Cory]",-2.122,0.498,-3.057,-1.199,0.004,0.007,15559.0,5387.0,1.0
"alpha[Mancini, Trey]",-2.312,0.279,-2.849,-1.811,0.002,0.003,15572.0,6418.0,1.0
"alpha[Hernández, Gorkys]",-2.199,0.413,-3.003,-1.453,0.003,0.005,15572.0,6439.0,1.0
"alpha[Gonzalez, Marwin]",-1.798,0.259,-2.281,-1.313,0.002,0.003,14007.0,6699.0,1.0
"alpha[Pham, Tommy]",-2.598,0.191,-2.958,-2.243,0.002,0.002,12451.0,6507.0,1.0
"alpha[Braun, Ryan]",-2.584,0.288,-3.112,-2.049,0.002,0.003,15169.0,6606.0,1.0
"alpha[Jiménez, Eloy]",-2.206,0.232,-2.63,-1.766,0.002,0.003,15238.0,6737.0,1.0
"alpha[Stewart, Christin]",-2.555,0.284,-3.088,-2.014,0.002,0.004,17279.0,6021.0,1.0
"alpha[Granderson, Curtis]",-2.049,0.29,-2.585,-1.489,0.003,0.003,13094.0,6444.0,1.0
"alpha[Miller, Brad]",-2.425,0.322,-3.006,-1.807,0.003,0.004,13705.0,6550.0,1.0
"alpha[Hernández, Teoscar]",-2.098,0.171,-2.421,-1.78,0.001,0.002,14039.0,6324.0,1.0
"alpha[Calhoun, Willie]",-2.439,0.279,-2.954,-1.904,0.002,0.003,15113.0,6323.0,1.0
"alpha[García, Robel]",-2.393,0.501,-3.342,-1.445,0.004,0.007,15694.0,5097.0,1.0
"alpha[Schwarber, Kyle]",-2.514,0.187,-2.867,-2.161,0.002,0.002,11909.0,7062.0,1.0
"alpha[Dickerson, Alex]",-2.561,0.258,-3.05,-2.081,0.002,0.003,14334.0,6388.0,1.0
"alpha[Grossman, Robbie]",-2.421,0.176,-2.747,-2.088,0.002,0.002,13347.0,6842.0,1.0
"alpha[Long Jr., Shed]",-2.643,0.348,-3.298,-2.001,0.003,0.004,13726.0,6069.0,1.0
"alpha[VanMeter, Josh]",-2.192,0.355,-2.856,-1.53,0.003,0.004,14971.0,6708.0,1.0
"alpha[Elmore, Jake]",-2.287,0.452,-3.145,-1.437,0.004,0.006,16266.0,5688.0,1.0
"alpha[Davis, Rajai]",-2.096,0.485,-3.033,-1.21,0.003,0.007,21192.0,5446.0,1.0
"alpha[Travis, Sam]",-2.362,0.395,-3.114,-1.637,0.003,0.005,17562.0,6339.0,1.0
"alpha[Rojas, Josh]",-2.37,0.283,-2.894,-1.833,0.002,0.003,14365.0,6277.0,1.0
"alpha[Myers, Wil]",-2.205,0.203,-2.606,-1.841,0.002,0.002,16325.0,6995.0,1.0
"alpha[Straw, Myles]",-1.374,0.159,-1.674,-1.077,0.001,0.002,14188.0,5932.0,1.0
"alpha[Ward, Taylor]",-2.511,0.218,-2.921,-2.106,0.002,0.002,13246.0,6254.0,1.0
"alpha[Gosselin, Phil]",-2.352,0.316,-2.93,-1.742,0.003,0.004,15273.0,6238.0,1.0
"alpha[Dean, Austin]",-2.646,0.338,-3.285,-2.026,0.003,0.004,14012.0,5684.0,1.0
"alpha[Ramírez, Harold]",-2.755,0.226,-3.162,-2.321,0.002,0.003,13504.0,6307.0,1.0
"alpha[Frazier, Clint]",-2.776,0.26,-3.268,-2.297,0.002,0.003,14810.0,6583.0,1.0
"alpha[García, Leury]",-1.833,0.209,-2.233,-1.447,0.002,0.002,14371.0,6428.0,1.0
"alpha[Rodríguez, Ronny]",-2.186,0.51,-3.118,-1.227,0.004,0.007,19088.0,5363.0,1.0
"alpha[Rickard, Joey]",-1.281,0.315,-1.862,-0.665,0.003,0.004,15075.0,6567.0,1.0
"alpha[Lopes, Tim]",-2.506,0.336,-3.125,-1.874,0.003,0.004,14125.0,5968.0,1.0
"alpha[Ervin, Phillip]",-1.598,0.268,-2.091,-1.092,0.002,0.003,14416.0,6683.0,1.0
"alpha[Luplow, Jordan]",-2.484,0.233,-2.927,-2.052,0.002,0.003,13559.0,6079.0,1.0
"alpha[Kramer, Kevin]",-2.265,0.448,-3.068,-1.375,0.004,0.006,15321.0,5696.0,1.0
"alpha[Nimmo, Brandon]",-1.663,0.169,-1.989,-1.351,0.002,0.002,12421.0,6727.0,1.0
"alpha[McNeil, Jeff]",-2.317,0.244,-2.79,-1.869,0.002,0.003,13910.0,6996.0,1.0
"alpha[Cordell, Ryan]",-1.904,0.283,-2.415,-1.354,0.002,0.004,15215.0,6556.0,1.0
"alpha[Benintendi, Andrew]",-2.235,0.182,-2.585,-1.892,0.002,0.002,12744.0,6407.0,1.0
"alpha[Yastrzemski, Mike]",-2.149,0.169,-2.464,-1.837,0.001,0.002,13576.0,6702.0,1.0
"alpha[Moore, Dylan]",-2.263,0.248,-2.727,-1.796,0.002,0.003,15278.0,5816.0,1.0
"alpha[Brown, Seth]",-1.918,0.224,-2.343,-1.495,0.002,0.002,12534.0,6759.0,1.0
"alpha[Naylor, Josh]",-2.525,0.256,-3.011,-2.045,0.002,0.003,15230.0,6078.0,1.0
