,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"alpha[Siri, Jose]",-0.603,0.115,-0.821,-0.391,0.001,0.001,9778.0,6476.0,1.0
"alpha[Tucker, Kyle]",-0.899,0.204,-1.27,-0.496,0.002,0.003,15282.0,5631.0,1.0
"alpha[Duvall, Adam]",-0.964,0.148,-1.222,-0.66,0.001,0.002,12777.0,6194.0,1.0
"alpha[Heredia, Guillermo]",-0.873,0.162,-1.178,-0.571,0.001,0.002,14496.0,5979.0,1.0
"alpha[McCormick, Chas]",-0.83,0.139,-1.1,-0.574,0.001,0.002,10890.0,5920.0,1.0
"alpha[Bellinger, Cody]",-0.901,0.11,-1.104,-0.687,0.001,0.001,11175.0,6315.0,1.0
"alpha[Hernández, Enrique]",-0.922,0.124,-1.155,-0.685,0.001,0.001,9760.0,5494.0,1.0
"alpha[Verdugo, Alex]",-1.158,0.186,-1.505,-0.801,0.002,0.002,10727.0,5784.0,1.0
"alpha[Betts, Mookie]",-0.878,0.189,-1.221,-0.515,0.002,0.003,13703.0,5560.0,1.0
"alpha[Taylor, Chris]",-0.827,0.178,-1.181,-0.501,0.001,0.002,14270.0,5798.0,1.0
"alpha[Lux, Gavin]",-0.85,0.201,-1.238,-0.489,0.002,0.003,17368.0,5907.0,1.0
"alpha[Daza, Yonathan]",-1.145,0.137,-1.4,-0.89,0.001,0.002,11786.0,6093.0,1.0
"alpha[McCarthy, Jake]",-0.992,0.152,-1.278,-0.705,0.001,0.002,11397.0,6026.0,1.0
"alpha[Engel, Adam]",-0.981,0.163,-1.293,-0.683,0.001,0.002,12848.0,6049.0,1.0
"alpha[Baddoo, Akil]",-0.992,0.159,-1.29,-0.698,0.001,0.002,11884.0,5853.0,1.0
"alpha[Sierra, Magneuris]",-0.763,0.17,-1.081,-0.443,0.001,0.002,14684.0,6143.0,1.0
"alpha[Jankowski, Travis]",-0.696,0.177,-1.019,-0.355,0.002,0.002,13441.0,5320.0,1.0
"alpha[Herrera, Odúbel]",-0.82,0.137,-1.082,-0.562,0.001,0.002,14274.0,6076.0,1.0
"alpha[Marte, Starling]",-0.94,0.144,-1.218,-0.683,0.001,0.002,15003.0,6580.0,1.0
"alpha[Bolt, Skye]",-0.96,0.179,-1.3,-0.632,0.001,0.002,15701.0,5819.0,1.0
"alpha[Taylor, Michael A.]",-0.705,0.098,-0.887,-0.519,0.001,0.001,11286.0,6535.0,1.0
"alpha[Robert Jr., Luis]",-0.82,0.103,-1.012,-0.627,0.001,0.001,11324.0,7129.0,1.0
"alpha[Meyers, Jake]",-0.657,0.121,-0.881,-0.431,0.001,0.001,9670.0,5514.0,1.0
"alpha[Slater, Austin]",-0.92,0.141,-1.183,-0.66,0.001,0.002,15086.0,6633.0,1.0
"alpha[Yastrzemski, Mike]",-0.793,0.148,-1.06,-0.505,0.001,0.002,11948.0,6075.0,1.0
"alpha[Pache, Cristian]",-0.685,0.134,-0.931,-0.43,0.001,0.002,12617.0,6323.0,1.0
"alpha[Cain, Lorenzo]",-0.647,0.164,-0.966,-0.35,0.001,0.002,13088.0,5131.0,1.0
"alpha[Kiermaier, Kevin]",-0.629,0.109,-0.84,-0.43,0.001,0.001,9093.0,5744.0,1.0
"alpha[Duggar, Steven]",-0.775,0.164,-1.093,-0.482,0.001,0.002,13282.0,5996.0,1.0
"alpha[Bryant, Kris]",-0.835,0.205,-1.213,-0.439,0.002,0.003,16973.0,5572.0,1.0
"alpha[Ortega, Rafael]",-1.106,0.145,-1.364,-0.832,0.001,0.002,11543.0,6379.0,1.0
"alpha[Marsh, Brandon]",-0.98,0.122,-1.203,-0.748,0.001,0.001,10791.0,6595.0,1.0
"alpha[Kelenic, Jarred]",-0.962,0.134,-1.221,-0.71,0.001,0.002,14030.0,6303.0,1.0
"alpha[Lagares, Juan]",-0.886,0.177,-1.217,-0.561,0.001,0.002,16795.0,5816.0,1.0
"alpha[Straw, Myles]",-0.896,0.1,-1.087,-0.713,0.001,0.001,10817.0,6618.0,1.0
