,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"alpha[Renfroe, Hunter]",-2.834,0.112,-3.043,-2.624,0.001,0.001,6557.0,5014.0,1.0
"alpha[Tucker, Kyle]",-2.549,0.113,-2.767,-2.342,0.001,0.001,9522.0,5506.0,1.0
"alpha[Pederson, Joc]",-2.909,0.216,-3.291,-2.471,0.002,0.003,12603.0,5854.0,1.0
"alpha[Betts, Mookie]",-2.641,0.127,-2.865,-2.39,0.001,0.001,9217.0,6150.0,1.0
"alpha[Souza Jr., Steven]",-2.843,0.269,-3.338,-2.328,0.002,0.003,11716.0,5992.0,1.0
"alpha[Slater, Austin]",-2.737,0.216,-3.145,-2.337,0.002,0.003,12441.0,6367.0,1.0
"alpha[Soler, Jorge]",-2.956,0.169,-3.254,-2.624,0.002,0.002,8534.0,6124.0,1.0
"alpha[Brantley, Michael]",-2.836,0.27,-3.345,-2.321,0.003,0.003,11604.0,5664.0,1.0
"alpha[Duvall, Adam]",-2.67,0.18,-3.01,-2.333,0.002,0.002,9662.0,5751.0,1.0
"alpha[Verdugo, Alex]",-2.878,0.156,-3.167,-2.581,0.002,0.002,10328.0,6365.0,1.0
"alpha[García, Avisaíl]",-2.758,0.141,-3.013,-2.481,0.001,0.002,10524.0,6158.0,1.0
"alpha[García, Leury]",-2.827,0.231,-3.238,-2.378,0.002,0.002,9938.0,6063.0,1.0
"alpha[Engel, Adam]",-2.743,0.218,-3.153,-2.34,0.002,0.003,10985.0,4765.0,1.0
"alpha[Wade Jr., LaMonte]",-2.604,0.211,-3.012,-2.223,0.002,0.003,10843.0,5866.0,1.0
"alpha[Margot, Manuel]",-2.401,0.156,-2.679,-2.093,0.002,0.002,10130.0,6168.0,1.0
"alpha[Thompson, Trayce]",-2.675,0.219,-3.087,-2.268,0.002,0.002,9981.0,6701.0,1.0
"alpha[Carlson, Dylan]",-2.883,0.162,-3.181,-2.576,0.002,0.002,8318.0,6065.0,1.0
"alpha[Lagares, Juan]",-3.072,0.245,-3.545,-2.622,0.002,0.003,10776.0,5448.0,1.0
"alpha[Haniger, Mitch]",-2.596,0.133,-2.839,-2.342,0.001,0.002,11143.0,6213.0,1.0
"alpha[Rojas, Jose]",-2.791,0.24,-3.235,-2.322,0.002,0.003,11568.0,5288.0,1.0
"alpha[Zimmer, Bradley]",-2.355,0.25,-2.838,-1.91,0.003,0.003,8820.0,6014.0,1.0
"alpha[García, Adolis]",-2.822,0.123,-3.062,-2.598,0.001,0.001,7762.0,5724.0,1.0
"alpha[Hernández, Teoscar]",-2.568,0.12,-2.783,-2.335,0.001,0.001,10196.0,6324.0,1.0
"alpha[Yastrzemski, Mike]",-2.676,0.125,-2.92,-2.445,0.001,0.001,12295.0,6046.0,1.0
"alpha[Bryant, Kris]",-3.09,0.191,-3.456,-2.738,0.002,0.002,8597.0,6136.0,1.0
"alpha[Arozarena, Randy]",-2.561,0.206,-2.958,-2.178,0.002,0.002,10225.0,5869.0,1.0
"alpha[Calhoun, Kole]",-2.825,0.185,-3.167,-2.47,0.002,0.002,12642.0,6369.0,1.0
"alpha[Hilliard, Sam]",-3.081,0.249,-3.561,-2.628,0.003,0.003,9701.0,5771.0,1.0
"alpha[Cameron, Daz]",-2.746,0.214,-3.136,-2.335,0.002,0.002,10100.0,6262.0,1.0
"alpha[Vierling, Matt]",-2.468,0.187,-2.819,-2.122,0.002,0.002,10083.0,6263.0,1.0
"alpha[De La Cruz, Bryan]",-2.732,0.176,-3.058,-2.404,0.002,0.002,8193.0,5881.0,1.0
"alpha[Harper, Bryce]",-3.012,0.161,-3.3,-2.697,0.002,0.002,9169.0,4975.0,1.0
"alpha[Barrera, Luis]",-2.488,0.268,-3.012,-2.012,0.003,0.004,10527.0,5294.0,1.0
"alpha[O'Hearn, Ryan]",-2.82,0.204,-3.198,-2.434,0.002,0.002,10018.0,6034.0,1.0
