,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha[669289],0.041,0.107,-0.158,0.247,0.001,0.002,19168.0,5689.0,1.0
alpha[656896],-0.161,0.109,-0.364,0.043,0.001,0.001,13153.0,5387.0,1.0
alpha[673962],0.057,0.091,-0.104,0.237,0.001,0.001,16615.0,6150.0,1.0
alpha[571657],-0.08,0.11,-0.286,0.127,0.001,0.001,15495.0,5617.0,1.0
alpha[663586],0.068,0.094,-0.109,0.244,0.001,0.001,17070.0,5904.0,1.0
alpha[660162],-0.004,0.111,-0.219,0.198,0.001,0.002,20659.0,4958.0,1.0
alpha[624641],-0.067,0.102,-0.267,0.115,0.001,0.001,18507.0,5448.0,1.0
alpha[672580],0.039,0.092,-0.139,0.211,0.001,0.001,18504.0,5769.0,1.0
alpha[592518],0.122,0.099,-0.065,0.307,0.001,0.001,18608.0,5743.0,1.0
alpha[646240],-0.079,0.091,-0.25,0.094,0.001,0.001,15405.0,5569.0,1.0
alpha[650859],-0.067,0.108,-0.276,0.127,0.001,0.001,20112.0,5726.0,1.0
alpha[553993],0.032,0.088,-0.142,0.192,0.001,0.001,18008.0,5436.0,1.0
alpha[605204],-0.196,0.106,-0.404,-0.008,0.001,0.001,11807.0,5369.0,1.0
alpha[670623],0.088,0.094,-0.101,0.258,0.001,0.001,15990.0,4536.0,1.0
alpha[663647],0.074,0.092,-0.098,0.243,0.001,0.001,17252.0,5560.0,1.0
alpha[664058],-0.015,0.125,-0.25,0.217,0.001,0.002,17373.0,6208.0,1.0
alpha[670764],0.028,0.111,-0.173,0.243,0.001,0.001,17758.0,5432.0,1.0
alpha[602104],-0.015,0.102,-0.203,0.179,0.001,0.001,20977.0,5356.0,1.0
alpha[500871],-0.059,0.117,-0.272,0.173,0.001,0.002,16787.0,5154.0,1.0
alpha[672356],0.001,0.113,-0.217,0.214,0.001,0.002,19084.0,5681.0,1.0
alpha[608324],-0.044,0.089,-0.204,0.127,0.001,0.001,20644.0,5858.0,1.0
alpha[622761],0.135,0.116,-0.077,0.355,0.001,0.002,14845.0,5046.0,1.0
alpha[668930],0.078,0.104,-0.115,0.269,0.001,0.001,17786.0,5823.0,1.0
alpha[677951],-0.101,0.094,-0.275,0.077,0.001,0.001,18365.0,5562.0,1.0
alpha[671289],-0.063,0.119,-0.294,0.155,0.001,0.002,15003.0,5708.0,1.0
alpha[608070],0.016,0.099,-0.166,0.205,0.001,0.001,18050.0,5684.0,1.0
alpha[687263],-0.041,0.101,-0.226,0.146,0.001,0.001,16212.0,5984.0,1.0
alpha[668904],-0.06,0.111,-0.26,0.156,0.001,0.002,15806.0,5179.0,1.0
alpha[608369],0.063,0.098,-0.122,0.245,0.001,0.001,14645.0,5971.0,1.0
alpha[642715],0.018,0.097,-0.161,0.207,0.001,0.001,16380.0,5109.0,1.0
alpha[596115],0.066,0.121,-0.164,0.29,0.001,0.002,17822.0,5177.0,1.0
alpha[607208],-0.073,0.088,-0.243,0.082,0.001,0.001,19042.0,6050.0,1.0
alpha[641313],-0.111,0.102,-0.309,0.079,0.001,0.001,13132.0,5282.0,1.0
alpha[672478],-0.055,0.121,-0.286,0.168,0.001,0.002,15537.0,5736.0,1.0
alpha[514888],-0.127,0.112,-0.349,0.077,0.001,0.001,16057.0,5502.0,1.0
alpha[671213],-0.055,0.11,-0.267,0.147,0.001,0.002,16802.0,5346.0,1.0
alpha[650402],0.164,0.108,-0.036,0.369,0.001,0.001,11836.0,5491.0,1.0
alpha[672820],-0.058,0.113,-0.258,0.169,0.001,0.002,14925.0,5580.0,1.0
alpha[606466],-0.031,0.105,-0.228,0.17,0.001,0.001,15752.0,5947.0,1.0
alpha[681584],-0.046,0.126,-0.287,0.186,0.001,0.002,17049.0,5538.0,1.0
alpha[669242],0.024,0.112,-0.192,0.23,0.001,0.002,20121.0,5088.0,1.0
alpha[664040],-0.005,0.114,-0.212,0.218,0.001,0.002,18196.0,5811.0,1.0
alpha[681082],-0.026,0.098,-0.207,0.167,0.001,0.001,18448.0,5191.0,1.0
alpha[680911],0.022,0.115,-0.187,0.247,0.001,0.002,19451.0,5806.0,1.0
alpha[643289],0.083,0.12,-0.142,0.314,0.001,0.002,15156.0,5244.0,1.0
alpha[467793],0.081,0.103,-0.116,0.268,0.001,0.001,18149.0,5790.0,1.0
alpha[670042],0.027,0.123,-0.207,0.252,0.001,0.002,20502.0,5408.0,1.0
alpha[647304],0.173,0.118,-0.044,0.397,0.001,0.001,14806.0,5944.0,1.0
alpha[608336],0.02,0.121,-0.21,0.249,0.001,0.002,20322.0,5648.0,1.0
alpha[663697],0.023,0.118,-0.194,0.251,0.001,0.002,19601.0,5206.0,1.0
alpha[668715],0.0,0.108,-0.205,0.198,0.001,0.002,16581.0,5704.0,1.0
alpha[605119],0.086,0.121,-0.133,0.317,0.001,0.002,18865.0,5777.0,1.0
alpha[670712],-0.063,0.126,-0.304,0.172,0.001,0.002,14353.0,5331.0,1.0
alpha[516416],-0.025,0.114,-0.24,0.188,0.001,0.002,18613.0,5475.0,1.0
alpha[600869],0.001,0.098,-0.184,0.182,0.001,0.001,15577.0,5060.0,1.0
alpha[621028],0.035,0.114,-0.174,0.249,0.001,0.002,16680.0,5661.0,1.0
alpha[682928],0.06,0.092,-0.112,0.232,0.001,0.001,15222.0,6003.0,1.0
alpha[606115],-0.08,0.098,-0.272,0.097,0.001,0.001,16319.0,5667.0,1.0
alpha[678246],-0.067,0.115,-0.276,0.157,0.001,0.002,16348.0,5112.0,1.0
alpha[642086],0.023,0.107,-0.17,0.236,0.001,0.001,19698.0,5700.0,1.0
alpha[642133],-0.042,0.103,-0.239,0.149,0.001,0.001,18816.0,6118.0,1.0
alpha[641820],0.001,0.124,-0.235,0.229,0.001,0.002,18263.0,5922.0,1.0
alpha[571448],0.149,0.095,-0.026,0.335,0.001,0.001,13797.0,5854.0,1.0
alpha[666801],0.012,0.121,-0.217,0.232,0.001,0.002,17588.0,5729.0,1.0
alpha[678662],0.085,0.108,-0.127,0.28,0.001,0.001,21904.0,5129.0,1.0
alpha[650333],-0.025,0.106,-0.22,0.179,0.001,0.001,18603.0,5223.0,1.0
alpha[673490],0.107,0.102,-0.087,0.299,0.001,0.001,19381.0,5902.0,1.0
alpha[572233],0.044,0.102,-0.149,0.234,0.001,0.001,19585.0,5892.0,1.0
alpha[671277],-0.016,0.103,-0.207,0.177,0.001,0.001,21001.0,6126.0,1.0
alpha[527038],0.043,0.111,-0.172,0.251,0.001,0.001,17093.0,5770.0,1.0
alpha[664774],0.056,0.11,-0.14,0.273,0.001,0.002,18146.0,5512.0,1.0
alpha[474832],-0.001,0.125,-0.248,0.225,0.001,0.002,20562.0,5428.0,1.0
alpha[543068],0.016,0.12,-0.204,0.244,0.001,0.002,18455.0,5642.0,1.0
alpha[542932],-0.067,0.111,-0.278,0.135,0.001,0.001,17867.0,6021.0,1.0
alpha[571970],0.081,0.101,-0.104,0.275,0.001,0.001,14885.0,5718.0,1.0
alpha[663611],0.081,0.113,-0.131,0.29,0.001,0.001,17138.0,5909.0,1.0
alpha[682829],0.031,0.104,-0.163,0.227,0.001,0.001,13975.0,5756.0,1.0
alpha[669477],-0.099,0.115,-0.315,0.115,0.001,0.001,18291.0,5528.0,1.0
alpha[543760],0.107,0.102,-0.083,0.302,0.001,0.001,15738.0,6123.0,1.0
alpha[669357],-0.088,0.112,-0.293,0.118,0.001,0.002,16802.0,4948.0,1.0
alpha[641355],0.048,0.125,-0.182,0.286,0.001,0.002,14899.0,5029.0,1.0
alpha[676391],0.032,0.111,-0.185,0.235,0.001,0.002,19899.0,5065.0,1.0
alpha[680574],0.027,0.122,-0.198,0.268,0.001,0.002,17055.0,5019.0,1.0
alpha[593160],-0.003,0.116,-0.213,0.231,0.001,0.002,18981.0,5732.0,1.0
alpha[676946],-0.058,0.126,-0.293,0.183,0.001,0.002,18500.0,5458.0,1.0
alpha[643265],0.08,0.123,-0.158,0.307,0.001,0.002,15921.0,5015.0,1.0
alpha[572228],0.029,0.13,-0.219,0.266,0.001,0.002,18706.0,5763.0,1.0
alpha[608841],0.002,0.119,-0.23,0.221,0.001,0.002,19306.0,5828.0,1.0
alpha[664761],-0.113,0.086,-0.273,0.052,0.001,0.001,14708.0,5684.0,1.0
alpha[621550],-0.003,0.109,-0.209,0.202,0.001,0.001,19002.0,5802.0,1.0
alpha[665019],0.003,0.117,-0.209,0.232,0.001,0.002,19200.0,6197.0,1.0
alpha[519058],-0.065,0.117,-0.282,0.155,0.001,0.002,15768.0,5215.0,1.0
alpha[643396],-0.074,0.109,-0.282,0.123,0.001,0.001,19261.0,5231.0,1.0
alpha[656305],-0.165,0.109,-0.367,0.046,0.001,0.001,13008.0,4861.0,1.0
alpha[593428],-0.046,0.098,-0.225,0.146,0.001,0.001,17928.0,5122.0,1.0
alpha[518934],0.066,0.104,-0.131,0.262,0.001,0.001,17588.0,6147.0,1.0
alpha[570482],0.013,0.099,-0.16,0.209,0.001,0.001,17677.0,5911.0,1.0
alpha[641487],0.01,0.103,-0.189,0.201,0.001,0.001,20051.0,5497.0,1.0
alpha[672695],0.034,0.099,-0.152,0.217,0.001,0.001,21913.0,5093.0,1.0
alpha[621043],0.005,0.105,-0.191,0.205,0.001,0.001,17162.0,5004.0,1.0
alpha[677551],0.049,0.114,-0.17,0.26,0.001,0.001,17743.0,5628.0,1.0
alpha[668942],0.21,0.113,0.005,0.429,0.001,0.001,12816.0,4820.0,1.0
alpha[649966],0.058,0.117,-0.163,0.275,0.001,0.002,16956.0,5910.0,1.0
alpha[680869],0.047,0.112,-0.165,0.259,0.001,0.002,18674.0,5713.0,1.0
alpha[665828],0.009,0.108,-0.202,0.206,0.001,0.002,17298.0,5239.0,1.0
alpha[669701],0.008,0.1,-0.181,0.195,0.001,0.001,19200.0,5378.0,1.0
alpha[570731],0.063,0.123,-0.17,0.289,0.001,0.002,17807.0,5756.0,1.0
alpha[593643],0.026,0.125,-0.214,0.258,0.001,0.002,18812.0,5787.0,1.0
alpha[665155],0.003,0.116,-0.214,0.216,0.001,0.002,18674.0,5159.0,1.0
alpha[683146],-0.145,0.104,-0.336,0.055,0.001,0.001,11526.0,5531.0,1.0
alpha[663837],-0.022,0.111,-0.241,0.177,0.001,0.002,20373.0,4985.0,1.0
