batter,dre_p1sol
457705,-0.2705385887290108
467793,-0.26863770658091723
500743,-0.28785424889077954
502054,-0.27029016516280724
502671,-0.27118919427896465
514888,-0.24083421386327963
516782,-0.21393455879666257
518692,-0.18183081133175893
521692,-0.3931136263934502
527038,-0.34566866034296234
542303,-0.3573174998845186
543760,-0.2067964458860094
543807,-0.23186022475272397
545341,-0.23858679835390692
547180,-0.16701874367708133
553993,-0.30021435902538923
571448,-0.3369662262933181
571657,-0.3274685823177147
571771,-0.25018449190421965
571970,-0.15113439752328106
572233,-0.30458859355957196
573262,-0.17739361561837255
575929,-0.22496819366126272
592206,-0.21253889149121472
592450,-0.2898995651562996
592518,-0.3232301348986408
592626,-0.16959390558196474
592663,-0.23874720203480065
592885,-0.18563500758415039
593428,-0.1869511732815197
593871,-0.09049298870500476
595777,-0.14490667665220286
595879,-0.24031286687724937
596019,-0.17199168119058048
596146,-0.14661506244325254
602104,-0.34281243796419514
605137,-0.2549588482893134
605141,-0.2330334185543016
605170,-0.238689812799542
606115,-0.38660046609672155
606192,-0.23054445570137055
606466,-0.1891486504253017
607043,-0.15227810494110286
607208,-0.13574843159612263
608070,-0.10735269687778512
608324,-0.2753977569559281
608348,-0.3586443356660642
608369,-0.24975149570716465
609280,-0.28037305824166525
621020,-0.18681480916086232
621043,-0.301316245401202
621438,-0.22314030396550216
621493,-0.24917331022460001
621566,-0.2308796747784231
624413,-0.34752422981175757
624424,-0.1959012647417529
624428,-0.21950658186562183
624431,-0.3793134957452578
624585,-0.38455585969442035
624641,-0.21730055065886492
630105,-0.1592653429322221
641355,-0.08522756095533772
641487,-0.23719829622308938
641680,-0.31063459547263145
641857,-0.1728642660038498
642133,-0.35441010599493383
642708,-0.25171635616635124
642715,-0.21959944388202335
643217,-0.1575016517003742
643289,-0.18253593139729285
643396,-0.22766589516842012
643446,-0.10967844845190579
643565,-0.2937671217198179
645277,-0.11094134123966976
646240,-0.24193459175078535
647304,-0.23270483038323392
650333,-0.23467332312725236
650402,-0.30934371728806
650489,-0.15564604286660885
650490,-0.2699474083579572
650859,-0.18829952601632038
656305,-0.2299422788778973
656716,-0.12949792130088197
656775,-0.11405502463190632
656811,-0.1738627440595474
656941,-0.1376589391150286
657656,-0.1507300300141898
657757,-0.19824672639569096
660271,-0.10185451088640521
660670,-0.18674189457659712
660688,-0.2829449076001248
660821,-0.15155026554776296
661388,-0.256614975816632
663457,-0.16789898806141515
663538,-0.17630085165829085
663586,-0.22611797594174685
663616,-0.24751854597620482
663624,-0.22468001464280463
663647,-0.3285429507029628
663656,-0.18754169367912205
663697,-0.21881907457617483
663728,-0.21991134708209548
663743,-0.25183550318642456
663757,-0.1879484136496652
663993,-0.22834047984818198
664023,-0.16491166652514
664034,-0.3304357200002931
664040,-0.14033504171044472
664056,-0.18024894822177645
664702,-0.1046469121684691
664728,-0.18475139308529048
664761,-0.3123392078168283
664983,-0.09309474751283357
665161,-0.1930310850376904
665487,-0.21436024819513816
665489,-0.2661173128443607
665742,-0.20087990600393188
665833,-0.15827690368749767
665862,-0.13771739938949323
665926,-0.15613149063036713
666023,-0.252850960575006
666134,-0.22090703883448384
666139,-0.16379017014635824
666158,-0.10812751687733323
666160,-0.13417726038307445
666182,-0.2776917997686483
666969,-0.264595130146082
666971,-0.2414220754340969
667670,-0.25709844015154965
668227,-0.20517554290104723
668709,-0.13359166571219855
668715,-0.2605030824840727
668804,-0.1734141748011807
668901,-0.3435147197394263
668930,-0.09333383670154827
668939,-0.16205495567433012
669016,-0.1628290129505082
669127,-0.2523349299639102
669221,-0.3689695491841069
669242,-0.13850961076073764
669257,-0.18889391772969885
669289,-0.2560312295640416
669394,-0.2141665402201034
669397,-0.2283101284984317
669701,-0.17135345629439405
669707,-0.2270304812194862
669720,-0.26899852038083505
669743,-0.23948083408490894
670623,-0.34723177834293717
670770,-0.13961335266781932
671218,-0.23978788455276734
671277,-0.16474900228294043
671289,-0.23580645889556762
671732,-0.19360684924337138
671739,-0.13858097365191788
672275,-0.2558228600638229
672356,-0.25063633336409247
672386,-0.3479653672527709
672515,-0.2549708097414016
672580,-0.22662948867185856
672640,-0.1670372234125062
672695,-0.18816268319704874
672820,-0.3417316099876122
673237,-0.22104458662425935
673357,-0.16757291376280717
673548,-0.1788797038652263
673962,-0.2771771106712424
676059,-0.15726493718528178
676391,-0.18338946815042415
676475,-0.13911875320886646
676609,-0.17000988425986288
676694,-0.23235359804304448
677587,-0.21266632605797925
677594,-0.18294769709191697
677950,-0.13834615179130808
677951,-0.10907869020552712
678662,-0.22561654698707817
678882,-0.16495840425268884
679529,-0.3177342213947202
680757,-0.16416935460789422
680776,-0.12709413500331884
680777,-0.35127969223836725
680977,-0.18993970622154963
681082,-0.08815522671229675
681297,-0.12413593089657353
681351,-0.233062647017566
681481,-0.17666354750173827
682626,-0.29596903419652
682829,-0.16331707470233459
682928,-0.13130035960779482
682985,-0.163589864109922
682998,-0.0680881875365081
683002,-0.11148774590835879
683011,-0.21278032246184297
683146,-0.19857500633403108
683734,-0.3472346023154124
683737,-0.1358117563213854
686217,-0.10356015775189215
686469,-0.23289016255827796
686668,-0.18231461949430275
687263,-0.22709955635063414
687401,-0.16479855709489105
690993,-0.12309683930321036
691023,-0.23808803499412412
691026,-0.17792094874252587
693304,-0.18541219793924096
694192,-0.16880461947383896
694384,-0.19907263367345068
694671,-0.17996609494631935
696285,-0.17977158356010414
701538,-0.09003158650547631
807799,-0.18293405210751376
