batter,n_tr,n_te,eo_outsopt,eo_runsopt,dre_outsopt,dre_runsopt
457705,259,156,0.7377895027842024,0.737735995169518,-0.059771721953654156,-0.05986598546427385
467793,357,140,0.7498054559335551,0.7512320209785952,-0.06891124676292892,-0.06986595512049293
500743,285,113,0.7677003708561245,0.7680379920400098,-0.07931725248291455,-0.07957526763734168
502054,332,158,0.7424249318744703,0.7423867530868307,-0.06259816999762108,-0.06259163356866787
502671,366,154,0.7538047305324006,0.7537422276831897,-0.07166817528862102,-0.07164882323954247
514888,353,199,0.7493615819661381,0.7495460174145137,-0.06608765804922873,-0.06619030426296113
516782,282,106,0.7427376266428177,0.7417087679688502,-0.06391760436723498,-0.06336617339891998
518692,385,200,0.7367327466096151,0.7365259334675202,-0.05838582203763326,-0.058310531484146444
521692,300,169,0.8271706569804175,0.8273748896096951,-0.11832951546727044,-0.1185309074503813
527038,168,116,0.8151860660176458,0.8151653422362861,-0.11064512317330877,-0.11063433340407458
542303,325,137,0.797056067651616,0.7958273530536143,-0.09960741909289378,-0.0988362688252345
543760,420,133,0.7155609359600262,0.7153845217038199,-0.04782611154710359,-0.04773398836329834
543807,440,171,0.7416945871001989,0.7418026572762982,-0.06275085988687495,-0.06282365694569181
545341,213,85,0.7311772032014626,0.7312275850692018,-0.05155359873731413,-0.05159377426084477
547180,322,176,0.7448858411373568,0.743154551453885,-0.06441123355310069,-0.06336034330215784
553993,269,141,0.7830630367374884,0.7829251224225076,-0.08838738048863681,-0.08838956263889708
571448,367,125,0.7935536937006021,0.7934917801303082,-0.09529739833800055,-0.09525559073068512
571657,171,91,0.800545000023505,0.8007859808254026,-0.10086236105210578,-0.10105548398955178
571771,254,80,0.7398959974407427,0.7400009433811905,-0.06234183355320866,-0.06242071499576163
571970,162,92,0.7431531425937198,0.7419063513473848,-0.06274750740205237,-0.06202476062237278
572233,331,151,0.7631362844989482,0.7630282011567633,-0.07606598574171602,-0.07601313665962994
573262,171,112,0.7511077703648008,0.7525098921307029,-0.07018414130139539,-0.07104891576904199
575929,246,147,0.7285638941630898,0.7281108889002641,-0.05597096421890396,-0.0557059784047641
592206,391,175,0.7335169203275823,0.7346453803883729,-0.058984404824676706,-0.05966401913822944
592450,206,139,0.7387548975768663,0.7387039028220836,-0.061342255621517405,-0.061344196106551174
592518,377,190,0.7550893335047572,0.7549438740896056,-0.07292837963820514,-0.0728754493463808
592626,210,79,0.7140986578683298,0.7145289790423288,-0.045156791935887675,-0.04542773927565524
592663,273,174,0.7235324539997235,0.7232974734595125,-0.04965826672561363,-0.04951114630022374
592885,341,242,0.7547120327478138,0.7549699361406778,-0.07139167908557531,-0.07155713951154408
593428,415,172,0.721951723218846,0.7223162677827354,-0.04767523131528195,-0.04792079886391387
593871,159,162,0.7170806895174797,0.7162887488285372,-0.04234726888247686,-0.04170865412542274
595777,347,92,0.7077627614875183,0.7095799096791403,-0.040399066215072665,-0.04172446284522313
